"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Dextromethorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan|Plasma (Peripheral Venous Blood) [µmol/l]"
0,1359,0.0004689527,0.01032977
0,1362,0.0004674645,0.0103173
0,1365,0.0004659772,0.01030481
0,1368,0.0004644909,0.01029232
0,1371,0.0004630056,0.01027981
0,1374,0.0004615213,0.0102673
0,1377,0.0004600381,0.01025477
0,1380,0.0004585559,0.01024223
0,1383,0.0004570749,0.01022969
0,1386,0.000455595,0.01021713
0,1389,0.0004541163,0.01020457
0,1392,0.0004526388,0.01019199
0,1395,0.0004511626,0.01017941
0,1398,0.0004496876,0.01016681
0,1401,0.0004482139,0.01015421
0,1404,0.0004467416,0.01014159
0,1407,0.0004452706,0.01012897
0,1410,0.0004438009,0.01011634
0,1413,0.0004423327,0.0101037
0,1416,0.0004408659,0.01009105
0,1419,0.0004394006,0.01007839
0,1422,0.0004379368,0.01006572
0,1425,0.0004364745,0.01005305
0,1428,0.0004350137,0.01004036
0,1431,0.0004335545,0.01002767
0,1434,0.0004320969,0.01001497
0,1437,0.0004306409,0.01000226
0,1440,0.0004291866,0.009989545
0,1443,0.000427734,0.009976819
0,1446,0.000426283,0.009964086
0,1449,0.0004248338,0.009951346
0,1452,0.0004233863,0.009938598
0,1455,0.0004219406,0.009925841
0,1458,0.0004204967,0.009913078
0,1461,0.0004190546,0.009900307
0,1464,0.0004176144,0.009887529
0,1467,0.000416176,0.009874743
0,1470,0.0004147396,0.009861951
0,1473,0.000413305,0.009849152
0,1476,0.0004118724,0.009836346
0,1479,0.0004104418,0.009823533
0,1482,0.0004090131,0.009810713
0,1485,0.0004075865,0.009797887
0,1488,0.0004061618,0.009785055
0,1491,0.0004047393,0.009772216
0,1494,0.0004033188,0.009759371
0,1497,0.0004019003,0.00974652
0,1500,0.000400484,0.009733663
0,1503,0.0003990699,0.0097208
0,1506,0.0003976579,0.00970793
0,1509,0.0003962481,0.009695056
0,1512,0.0003948404,0.009682176
0,1515,0.000393435,0.009669291
0,1518,0.0003920319,0.009656399
0,1521,0.000390631,0.009643503
