"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood) [µmol/l]"
0,1287,0.06690177
0,1288,0.06664775
0,1289,0.06639473
0,1290,0.06614273
0,1291,0.06589174
0,1292,0.06564175
0,1293,0.06539275
0,1294,0.06514474
0,1295,0.06489772
0,1296,0.06465169
0,1297,0.06440664
0,1298,0.06416257
0,1299,0.06391946
0,1300,0.06367733
0,1301,0.06343615
0,1302,0.06319594
0,1303,0.06295668
0,1304,0.06271838
0,1305,0.06248102
0,1306,0.06224461
0,1307,0.06200914
0,1308,0.0617746
0,1309,0.061541
0,1310,0.06130832
0,1311,0.06107657
0,1312,0.06084574
0,1313,0.06061583
0,1314,0.06038683
0,1315,0.06015874
0,1316,0.05993155
0,1317,0.05970526
0,1318,0.05947988
0,1319,0.05925538
0,1320,0.05903178
0,1321,0.05880907
0,1322,0.05858725
0,1323,0.0583663
0,1324,0.05814623
0,1325,0.05792703
0,1326,0.0577087
0,1327,0.05749123
0,1328,0.05727463
0,1329,0.05705888
0,1330,0.05684399
0,1331,0.05662996
0,1332,0.05641676
0,1333,0.05620442
0,1334,0.05599291
0,1335,0.05578224
0,1336,0.0555724
0,1337,0.05536339
0,1338,0.05515521
0,1339,0.05494786
0,1340,0.05474132
0,1341,0.0545356
0,1342,0.0543307
0,1343,0.0541266
0,1344,0.05392331
0,1345,0.05372082
0,1346,0.05351913
0,1347,0.05331824
0,1348,0.05311814
0,1349,0.05291883
0,1350,0.05272031
0,1351,0.05252257
0,1352,0.05232561
0,1353,0.05212943
0,1354,0.05193402
0,1355,0.05173938
0,1356,0.05154552
0,1357,0.05135241
0,1358,0.05116007
0,1359,0.05096848
0,1360,0.05077766
0,1361,0.05058758
0,1362,0.05039825
0,1363,0.05020966
0,1364,0.05002182
0,1365,0.04983472
0,1366,0.04964836
0,1367,0.04946273
0,1368,0.04927783
0,1369,0.04909365
0,1370,0.0489102
0,1371,0.04872748
0,1372,0.04854547
0,1373,0.04836418
0,1374,0.04818359
0,1375,0.04800372
0,1376,0.04782456
0,1377,0.0476461
0,1378,0.04746834
0,1379,0.04729128
0,1380,0.04711491
0,1381,0.04693924
0,1382,0.04676425
0,1383,0.04658995
0,1384,0.04641634
0,1385,0.0462434
0,1386,0.04607115
0,1387,0.04589957
0,1388,0.04572866
0,1389,0.04555842
0,1390,0.04538885
0,1391,0.04521995
0,1392,0.0450517
0,1393,0.04488412
0,1394,0.04471719
0,1395,0.04455092
0,1396,0.0443853
0,1397,0.04422032
0,1398,0.044056
0,1399,0.04389231
0,1400,0.04372927
0,1401,0.04356686
